 p     phi    Temp.(K)      H2O         CO2          CO          OH          O2          H2          O          H
 1.0   0.20   2276.61       0.13384     0.11351     0.00132     0.01169     0.73550     0.00028     0.00370     0.00014
 1.0   0.40   2832.77       0.20050     0.16072     0.04043     0.06751     0.47330     0.00717     0.04259     0.00778
 1.0   0.60   3009.42       0.23961     0.16090     0.10190     0.09756     0.29299     0.02047     0.06330     0.02327
 1.0   0.80   3095.27       0.26365     0.14649     0.16220     0.10746     0.17546     0.03849     0.06508     0.04117
 1.0   1.00   3138.26       0.27656     0.12733     0.21643     0.10396     0.09948     0.06132     0.05618     0.05874
 1.0   1.20   3151.76       0.28019     0.10711     0.26389     0.09124     0.05178     0.08974     0.04227     0.07379
 1.0   1.40   3138.63       0.27505     0.08741     0.30485     0.07249     0.02370     0.12508     0.02745     0.08397
 1.0   1.60   3097.07       0.26074     0.06910     0.33969     0.05106     0.00901     0.16889     0.01484     0.08668
 1.0   1.80   3024.40       0.23672     0.05286     0.36859     0.03100     0.00269     0.22164     0.00641     0.08012
 1.0   2.00   2921.95       0.20409     0.03937     0.39160     0.01594     0.00062     0.28077     0.00215     0.06546
